timestamp,datetime,price_window,current_price,model_type,rf_prediction,rf_confidence,xgb_prediction,xgb_confidence,used_model,prediction,confidence,threshold_met,prediction_time,trade_executed,trade_id,trade_type,trade_time
1746265777,2025-05-03 15:19:36,"[96341.4, 96341.41, 96341.41, 96341.41, 96341.41]",96341.41,ensemble,UP,0.57,UP,0.910969,XGBoost,UP,0.9109690189361572,True,0.3818693161010742,,,,
1746265782,2025-05-03 15:19:42,"[96341.41, 96341.41, 96341.41, 96341.41, 96337.12]",96337.12,ensemble,UP,0.57,UP,0.95189923,XGBoost,UP,0.9518992304801941,True,0.33811330795288086,,,,
1746265787,2025-05-03 15:19:47,"[96341.41, 96341.41, 96341.41, 96337.12, 96337.13]",96337.13,ensemble,UP,0.57,UP,0.83626693,XGBoost,UP,0.8362669348716736,True,0.3866736888885498,True,8005801f-67e5-4eb2-8ef7-123004aa7821,BUY,1.0081923007965088
1746265797,2025-05-03 15:19:57,"[96341.41, 96341.41, 96337.12, 96337.13, 96337.13]",96337.13,ensemble,UP,0.56,UP,0.8269079,XGBoost,UP,0.8269078731536865,True,0.5235381126403809,,,,
1746265802,2025-05-03 15:20:02,"[96341.41, 96337.12, 96337.13, 96337.13, 96337.13]",96337.13,ensemble,UP,0.56,UP,0.87544346,XGBoost,UP,0.8754434585571289,True,0.3945791721343994,,,,
1746265807,2025-05-03 15:20:07,"[96337.12, 96337.13, 96337.13, 96337.13, 96337.13]",96337.13,ensemble,UP,0.56,UP,0.910969,XGBoost,UP,0.9109690189361572,True,0.36993980407714844,,,,
1746265812,2025-05-03 15:20:12,"[96337.13, 96337.13, 96337.13, 96337.13, 96335.1]",96335.1,ensemble,UP,0.56,UP,0.95189923,XGBoost,UP,0.9518992304801941,True,0.3443436622619629,,,,
1746265817,2025-05-03 15:20:17,"[96337.13, 96337.13, 96337.13, 96335.1, 96335.1]",96335.1,ensemble,UP,0.56,UP,0.83626693,XGBoost,UP,0.8362669348716736,True,0.3495595455169678,,,,
1746265822,2025-05-03 15:20:22,"[96337.13, 96337.13, 96335.1, 96335.1, 96335.1]",96335.1,ensemble,UP,0.56,UP,0.8269079,XGBoost,UP,0.8269078731536865,True,0.3834521770477295,,,,
1746265827,2025-05-03 15:20:27,"[96337.13, 96335.1, 96335.1, 96335.1, 96325.4]",96325.4,ensemble,UP,0.55,UP,0.95189923,XGBoost,UP,0.9518992304801941,True,0.3360402584075928,,,,
1746265832,2025-05-03 15:20:32,"[96335.1, 96335.1, 96335.1, 96325.4, 96304.43]",96304.43,ensemble,UP,0.52,UP,0.95189923,XGBoost,UP,0.9518992304801941,True,0.5010745525360107,,,,
